Model,Fuel Type,Mileage,Owner,Location,Price
Ford Ecosport (2017),DIESEL,"44,000 KM",1st,"Sector 63, Gurgaon","₹ 7,95,000"
Mahindra Scorpio (2014),DIESEL,"74,000 KM",2nd,"Ballabhgarh Sector 2, Faridabad","₹ 5,00,000"
Chevrolet Captiva (2010),DIESEL,"50,000 KM",2nd,"Wahida, Yamunanagar","₹ 2,00,000"
Toyota Etios (2011),PETROL,67000.0 KM,1st,"Sector 37, Gurgaon","₹ 2,50,000"
Hyundai Santro Xing (2005),PETROL,"39,841 KM",2nd,"Waraich Colony, Boh","₹ 1,20,000"
Mercedes-Benz Cls-Class (2005),DIESEL,"130,000 KM",2nd,"Sector 2, Rohtak","₹ 2,00,000"
Honda City Zx (2007),PETROL,"63,000 KM",1st,"Ardee City, Gurgaon","₹ 1,10,000"
Hyundai I20 (2018),PETROL,25000.0 KM,1st,"Sector 37, Gurgaon","₹ 6,65,000"
Hyundai Xcent (2014),DIESEL,80000.0 KM,1st,"Greenwood City, Gurgaon","₹ 2,90,000"
Volkswagen Vento (2012),DIESEL,"88,000 KM",3rd,"Sector 12A, Gurgaon","₹ 2,20,000"
Toyota Etios Liva (2018),PETROL,45000.0 KM,1st,"Kanhai, Gurgaon","₹ 5,30,000"
Maruti Suzuki Eeco (2010),CNG & HYBRIDS,30 KM,3rd,"Lakshman Colony, Julana","₹ 1,40,000"
Fiat Punto (2011),DIESEL,"90,000 KM",2nd,"Jalalpura Khurd, Jind","₹ 1,25,000"
Tata Tiago (2016),DIESEL,"71,000 KM",2nd,"Industrial Area, Rohtak","₹ 2,99,000"
Tata Others (2012),DIESEL,"145,000 KM",3rd,"Nawarsi, Ladwa","₹ 2,10,000"
Renault Kwid (2017),PETROL,42000.0 KM,1st,"Shakti Nagar, Ambala","₹ 2,75,000"
Mahindra Scorpio (2014),DIESEL,"79,000 KM",1st,"Sector 23A, Gurgaon","₹ 5,25,000"
Toyota Fortuner (2013),DIESEL,77000.0 KM,1st,"Inderpuri Mohlla, Sirsa","₹ 14,00,000"
Kia Carnival (2020),DIESEL,19000.0 KM,1st,"Ansal Plaza, Gurgaon","₹ 31,90,000"
Ford Aspire (2017),DIESEL,80737.0 KM,--,"Sector 37, Gurgaon","₹ 4,65,000"
Maruti Suzuki Ertiga (2016),DIESEL,72000.0 KM,1st,"Sector 37, Gurgaon","₹ 6,51,000"
Maruti Suzuki Alto K10 (2016),CNG & HYBRIDS,20 KM,2nd,"Gandhi Nagar, Bhiwani","₹ 2,80,000"
Maruti Suzuki Ritz (2012),DIESEL,"122,000 KM",2nd,"New Anaj Mandi, Hisar","₹ 2,90,000"
Audi Q3 (2014),DIESEL,75000.0 KM,1st,"Sector 37, Gurgaon","₹ 14,50,000"
Maruti Suzuki Swift (2010),DIESEL,"85,000 KM",3rd,"Sector 10, Panchkula","₹ 2,75,000"
Maruti Suzuki Ertiga (2012),DIESEL,"54,000 KM",2nd,"Dabchick Village, Hodal","₹ 4,10,000"
Bmw 5 Series (2011),DIESEL,"60,000 KM",1st,"Sector 15, Sonipat","₹ 12,00,000"
Hyundai I10 (2013),PETROL,64499.0 KM,1st,"Sector 37, Gurgaon","₹ 2,80,000"
Toyota Fortuner (2013),--,91000.0 KM,--,"Ahirka, Jind","₹ 13,25,000"
Tata Others (2018),DIESEL,"8,000 KM",1st,"Khar Khara, Dharuhera","₹ 7,00,000"
Mahindra Xuv500 (2012),DIESEL,"72,000 KM",3rd,"Kasturba Colony, Ambala","₹ 6,00,000"
Hyundai Fluidic Verna (2013),DIESEL,"980,000 KM",1st,"Sector 16&17, Hisar","₹ 4,90,000"
Audi A6 (2013),DIESEL,56000.0 KM,1st,"Sector 29, Gurgaon","₹ 16,50,000"
Mahindra Bolero (2018),DIESEL,37357.0 KM,1st,"Sector 21, Kaithal","₹ 7,50,000"
Maruti Suzuki Ertiga (2013),CNG & HYBRIDS,87000.0 KM,2nd,"Sector 37, Gurgaon","₹ 3,95,000"
Ford Ecosport (2014),DIESEL,61500.0 KM,1st,"MG Road, Gurgaon","₹ 4,59,000"
Tata Others (2016),DIESEL,"100,000 KM",2nd,"Shree Ranbir Lohan Block, Narnaund","₹ 6,70,000"
Ford Endeavour (2017),DIESEL,"50,000 KM",1st,"Mohmmadpur Jharsa, Gurgaon","₹ 24,90,000"
Renault Kwid (2016),PETROL,44000.0 KM,1st,"Golf Course Road, Gurgaon","₹ 2,49,000"
Toyota Etios Liva (2015),DIESEL,78000.0 KM,1st,"Golf Course Extn Road, Gurgaon","₹ 4,10,000"
Maruti Suzuki Sx4 (2010),PETROL,41000.0 KM,1st,"Golf Course Extn Road, Gurgaon","₹ 2,60,000"
Audi Q7 (2014),DIESEL,"48,000 KM",1st,"Sector 42, Gurgaon","₹ 28,00,000"
Maruti Suzuki Eeco (2016),CNG & HYBRIDS,"110,000 KM",2nd,"Kheri Village, Maham","₹ 2,60,000"
Audi Q5 (2015),DIESEL,34000.0 KM,1st,"Sector 37, Gurgaon","₹ 22,55,000"
Maruti Suzuki Zen Estilo (2009),PETROL,"65,000 KM",2nd,"Tej Colony, Rohtak","₹ 1,25,000"
Maruti Suzuki Alto 800 (2019),PETROL,"17,290 KM",2nd,"Devsar Dham, Bhiwani","₹ 3,30,000"
Toyota Innova Crysta (2017),DIESEL,35000.0 KM,1st,"Bhim Nagar, Gurgaon","₹ 16,25,000"
Maruti Suzuki Wagon R (2009),PETROL,"82,000 KM",1st,"Sector 87, Faridabad","₹ 1,35,000"
Hyundai I10 (2011),PETROL,50000.0 KM,2nd,"Sector 15A, Faridabad","₹ 2,80,000"
Toyota Corolla Altis (2010),PETROL,72000.0 KM,1st,"Subhas Basti, Sirsa","₹ 3,20,000"
Hyundai Santro Xing (2014),PETROL,22223.0 KM,1st,"Sector 4 Gurgaon, Gurgaon","₹ 2,60,300"
Audi A6 (2013),--,62612.0 KM,--,"Durga Colony, Gurgaon","₹ 12,90,000"
Toyota Etios (2011),DIESEL,"298,000 KM",1st,"Kanwar Singh Colony, Jhajjar","₹ 2,00,000"
Hyundai Elite I20 (2017),PETROL,"30,000 KM",2nd,"Chiranjibi Colony, Kaithal","₹ 4,90,000"
Datsun Go (2015),PETROL,"42,000 KM",1st,"Ambala Cantt, Ambala","₹ 1,95,000"
Maruti Suzuki Esteem (2006),CNG & HYBRIDS,"108,000 KM",3rd,"Mamana, Fatehabad","₹ 85,000"
Chevrolet Beat (2011),PETROL,"62,000 KM",1st,"Model Town, Yamunanagar","₹ 1,70,000"
Honda City (2008),PETROL,"86,000 KM",4th,"Central Jail, Hisar","₹ 2,15,000"
Hyundai I20 (2013),DIESEL,"120,000 KM",1st,"Getpura, Ismailabad","₹ 3,15,000"
Hyundai I20 (2013),DIESEL,"100,000 KM",2nd,"Getpura, Ismailabad","₹ 3,00,000"
Maruti Suzuki Omni (2009),PETROL,"90,000 KM",2nd,"Balianwala, Tohana","₹ 80,000"
Maruti Suzuki Alto 800 (2017),PETROL,"48,700 KM",1st,"Tosham Main Chowk, Tosham","₹ 2,30,000"
Toyota Fortuner (2015),DIESEL,100000.0 KM,1st,"Sector 27, Gurgaon","₹ 16,60,000"
Maruti Suzuki Ertiga (2014),DIESEL,"99,000 KM",3rd,"Gulab Nagar Near Amar Vihar Colony, Yamunanagar","₹ 4,67,000"
Hyundai Elite I20 (2011),DIESEL,"98,000 KM",2nd,"Model Town, Kurukshetra","₹ 2,20,000"
Hyundai Eon (2012),PETROL,"95,000 KM",2nd,"Shiv Colony, Nissing","₹ 1,75,000"
Hyundai Grand I10 (2018),PETROL,38066.0 KM,--,"South City, Rewari","₹ 5,00,000"
Audi Q7 (2012),DIESEL,90000.0 KM,1st,"Sohna Road, Gurgaon","₹ 20,00,000"
Mercedes-Benz Cla (2017),DIESEL,53000.0 KM,2nd,"Ansal Plaza, Gurgaon","₹ 22,90,000"
Hyundai Santro (2012),CNG & HYBRIDS,"88,000 KM",2nd,"Anangpur, Faridabad","₹ 1,81,000"
Maruti Suzuki Alto (2006),CNG & HYBRIDS,"25,000 KM",3rd,"Nangal Kalan 43, Kundli","₹ 40,000"
Skoda Rapid (2012),PETROL,36000.0 KM,1st,"Sector 57, Gurgaon","₹ 4,30,000"
Maruti Suzuki Ritz (2016),DIESEL,"68,215 KM",2nd,"Hansi Rural 119, Hansi","₹ 3,60,000"
Maruti Suzuki S-Presso (2019),PETROL,66547.0 KM,--,"Ambala Cantt, Ambala","₹ 4,10,000"
Maruti Suzuki Ignis (2018),PETROL,18224.0 KM,1st,"Ambala Cantt, Ambala","₹ 4,70,000"
Maruti Suzuki Ertiga (2012),DIESEL,"300,000 KM",2nd,"Arya Colony, Siwani","₹ 3,10,000"
Hyundai I20 (2013),DIESEL,"25,000 KM",1st,"Pindara, Jind","₹ 4,00,000"
Tata Others (2013),DIESEL,"90,000 KM",2nd,"Nagar, Gohana","₹ 75,000"
Hyundai Santro Xing (2012),CNG & HYBRIDS,"85,000 KM",3rd,"Hasangarh, Sampla","₹ 1,57,000"
Maruti Suzuki Swift (2018),DIESEL,"41,000 KM",1st,"Police Line, Kurukshetra","₹ 6,90,000"
Tata Manza (2012),DIESEL,"60,000 KM",1st,"Lakshman Colony, Julana","₹ 1,50,000"
Maruti Suzuki Swift (2007),CNG & HYBRIDS,"60,000 KM",2nd,"Ravi Dass Nagar, Mandi Dabwali","₹ 1,35,000"
Maruti Suzuki Alto K10 (2011),PETROL,69856.0 KM,3rd,"Baldevnagar, Ambala","₹ 1,59,000"
Bmw 3 Series Gt (2014),DIESEL,125000.0 KM,1st,"Ansal Plaza, Gurgaon","₹ 17,00,000"
Hyundai Xcent (2016),CNG & HYBRIDS,125606.0 KM,--,"South City, Rewari","₹ 3,37,000"
Hyundai I10 (2009),PETROL,"72,000 KM",3rd,"Preet Nagar, Barara","₹ 1,40,000"
Maruti Suzuki Wagon R (2006),PETROL,"143,000 KM",1st,"Sector 7, Ambala","₹ 70,000"
Maruti Suzuki Swift (2021),PETROL,5000.0 KM,1st,"Sector 37, Gurgaon","₹ 7,85,000"
Tata Bolt (2015),PETROL,56000.0 KM,1st,"Sector 37, Gurgaon","₹ 2,75,000"
Toyota Corolla Altis (2015),PETROL,78000.0 KM,1st,"Sector 37, Gurgaon","₹ 9,75,000"
Maruti Suzuki Swift (2015),DIESEL,80000.0 KM,1st,"Anamika Enclave, Gurgaon","₹ 4,30,000"
Toyota Fortuner (2011),DIESEL,105.0 KM,1st,"Sector 37, Gurgaon","₹ 8,25,000"
Hyundai I20 (2013),PETROL,68000.0 KM,1st,"Sector 37, Gurgaon","₹ 3,10,000"
Tata Nano (2012),PETROL,"55,000 KM",2nd,"Tinkunni Village, Chhachhrauli","₹ 45,000"
Honda Mobilio (2015),DIESEL,77000.0 KM,2nd,"Sector 37, Gurgaon","₹ 4,45,000"
Hyundai I10 (2010),PETROL,"78,000 KM",4th,"Sector 95, Gurgaon","₹ 1,65,000"
Maruti Suzuki Alto K10 (2019),PETROL,"22,000 KM",1st,"Mauhri, Bilaspur","₹ 3,50,000"
Tata Indigo (2013),DIESEL,"80,000 KM",2nd,"Naraingarh Rural Part 88, Naraingarh","₹ 98,000"
Tata Indica Vista (2010),DIESEL,"145,000 KM",2nd,"Upli, Gharaunda","₹ 1,55,000"
Renault Koleos (2014),DIESEL,118300.0 KM,1st,"Punkunnam, Thrissur","₹ 6,85,000"
Honda Civic (2006),PETROL,86000.0 KM,2nd,"Kowdiar, Thiruvananthapuram","₹ 2,40,000"
Hyundai Santro Xing (2008),PETROL,88000.0 KM,2nd,"Palat Nagar, Kozhikode","₹ 1,30,000"
Mahindra Xylo (2010),DIESEL,105000.0 KM,2nd,"Ernad, Manjeri","₹ 2,85,000"
Ford Figo (2012),DIESEL,111000.0 KM,--,"Kathrikadavu, Kochi","₹ 2,59,000"
Maruti Suzuki Swift (2016),PETROL,53000.0 KM,1st,"Kaloor, Kochi","₹ 5,25,000"
Bmw X1 (2018),DIESEL,42000.0 KM,1st,"Palarivattom, Kochi","₹ 25,00,000"
Maruti Suzuki Alto K10 (2010),PETROL,61000.0 KM,1st,"Malappuram Up Hill, Malappuram","₹ 1,90,000"
Tata Tiago (2018),PETROL,36130.0 KM,1st,"Palarivattom, Kochi","₹ 5,30,000"
Maruti Suzuki Swift Dzire (2008),PETROL,78230.0 KM,1st,"Mannanthala, Thiruvananthapuram","₹ 2,30,000"
Maruti Suzuki Wagon R (2017),PETROL,24401.0 KM,1st,"Thattamala, Kollam","₹ 4,10,000"
Maruti Suzuki Eeco (2017),PETROL,45000.0 KM,2nd,"Thana, Kannur","₹ 3,15,000"
Volkswagen Jetta (2012),DIESEL,91000.0 KM,2nd,"Valiyangadi, Perinthalmanna","₹ 5,35,000"
Volkswagen Polo (2017),PETROL,35000.0 KM,2nd,"Thiruvannur, Kozhikode","₹ 6,50,000"
Maruti Suzuki Zen (2005),PETROL,85090.0 KM,2nd,"Thana, Kannur","₹ 98,000"
Mahindra Bolero (2013),DIESEL,90000.0 KM,3rd,"Melangadi, Kondotty","₹ 4,40,000"
Hyundai Santro (2010),PETROL,87000.0 KM,2nd,"Melechowa South, Kannur","₹ 1,60,000"
Maruti Suzuki Eeco (2016),PETROL,55000.0 KM,1st,"Thana, Kannur","₹ 3,55,000"
Mercedes-Benz B Class (2013),DIESEL,83500.0 KM,2nd,"Ncc Group Head Quarter Kozhikode, Kozhikode","₹ 14,50,000"
Maruti Suzuki Ritz (2014),PETROL,54000.0 KM,1st,"Kalamassery, Kochi","₹ 3,80,000"
Ford Endeavour (2019),DIESEL,34000.0 KM,1st,"Puthiyakavu, Karunagappally","₹ 35,50,000"
Hyundai Elite I20 (1901),--,888.0 KM,--,"Vyttila, Kochi","₹ 15,000"
Maruti Suzuki Alto 800 (2018),PETROL,52671.0 KM,1st,"Ehylode, Cheruthazham","₹ 2,95,000"
Ford Ecosport (2018),DIESEL,52000.0 KM,1st,"Palarivattom, Kochi","₹ 6,25,000"
Toyota Fortuner (2012),DIESEL,180000.0 KM,1st,"Mongam, Malappuram","₹ 11,25,000"
Volkswagen Polo (2020),PETROL,9600.0 KM,1st,"Kottakkal, Iringal","₹ 10,90,000"
Mahindra Bolero (1931),--,888.0 KM,--,"Vyttila, Kochi","₹ 15,000"
Maruti Suzuki Alto 800 (2018),PETROL,31506.0 KM,2nd,"Mannanthala, Thiruvananthapuram","₹ 2,90,000"
Hyundai I20 (2010),DIESEL,80000.0 KM,2nd,"Mebaram, Thazhuthala","₹ 2,75,000"
Maruti Suzuki Celerio (2014),PETROL,82000.0 KM,1st,"Angadipuram, Perinthalmanna","₹ 3,60,000"
Mahindra Xuv500 (2018),DIESEL,42000.0 KM,1st,"Palarivattom, Kochi","₹ 14,00,000"
Maruti Suzuki Omni (2005),PETROL,910000.0 KM,2nd,"Ponjassery, Vengola","₹ 73,000"
Maruti Suzuki Alto 800 (2014),PETROL,82768.0 KM,1st,"Choodubali, Kottayam","₹ 2,45,000"
Maruti Suzuki Baleno (2017),PETROL,36802.0 KM,1st,"Choodubali, Kottayam","₹ 5,89,996"
Skoda Rapid (2018),DIESEL,52000.0 KM,1st,"Palarivattom, Kochi","₹ 6,50,000"
Mahindra Tuv 300 (2017),DIESEL,56000.0 KM,1st,"Palarivattom, Kochi","₹ 6,00,000"
Maruti Suzuki Eeco (2011),PETROL,56553.0 KM,1st,"Killipalam, Thiruvananthapuram","₹ 2,50,000"
Renault Kwid (2020),--,0.0 KM,1st,"Tvm Isro, Thiruvananthapuram","₹ 4,99,000"
Mini Cooper S (2015),PETROL,20000.0 KM,2nd,"Puthanathani, Malappuram","₹ 27,00,000"
Bmw 5 Series (2009),DIESEL,80000.0 KM,2nd,"Anayara, Thiruvananthapuram","₹ 7,25,000"
Hyundai Creta (2018),DIESEL,52000.0 KM,1st,"Palarivattom, Kochi","₹ 16,00,000"
Maruti Suzuki Alto 800 (2013),PETROL,47320.0 KM,1st,"Ehylode, Cheruthazham","₹ 2,20,000"
Toyota Innova Crysta (2017),DIESEL,122000.0 KM,1st,"Changubetty, Kottakal","₹ 17,65,000"
Hyundai Grand I 10 (2015),PETROL,33964.0 KM,2nd,"Choodubali, Kottayam","₹ 3,95,000"
Maruti Suzuki Alto 800 (2014),PETROL,52850.0 KM,2nd,"Ehylode, Cheruthazham","₹ 2,40,000"
Honda City (2019),PETROL,7500.0 KM,--,"Ernakulam, Kochi","₹ 10,25,000"
Tata Indigo Cs (2011),DIESEL,115000.0 KM,2nd,"Chelamattom, Perumbavoor","₹ 1,09,000"
Hyundai Grand I10 (2018),PETROL,37600.0 KM,1st,"Mannarkad 2, Mannarkad I","₹ 4,85,000"
Tata Tiago (2019),--,39.0 KM,--,"Calicut Beach, Kozhikode","₹ 3,99,999"
Maruti Suzuki Wagon R 1.0 (2018),PETROL,13.0 KM,--,"Balussery, Kozhikode","₹ 3,33,333"
Maruti Suzuki Alto 800 (2016),PETROL,25.0 KM,--,"Ncc Group Head Quarter Kozhikode, Kozhikode","₹ 2,55,555"
Hyundai Accent (2007),--,71000.0 KM,--,"Kathrikadavu, Kochi","₹ 1,05,000"
Honda Jazz (2018),PETROL,46000.0 KM,1st,"Kanakode, Vattappara","₹ 7,12,000"
Hyundai Eon (2012),PETROL,70000.0 KM,4th,"Angadipuram, Perinthalmanna","₹ 1,80,000"
Toyota Etios (2013),DIESEL,80000.0 KM,1st,"Devinagar, Kollam","₹ 4,65,000"
Toyota Land Cruiser (2012),DIESEL,"90,000 KM",4th,"Edapally, Kochi","₹ 73,00,000"
Maruti Suzuki Ertiga (2016),DIESEL,65000.0 KM,1st,"Railway Station Square, Aluva","₹ 6,98,000"
Maruti Suzuki Swift (2014),PETROL,68244.0 KM,1st,"Muttathara, Thiruvananthapuram","₹ 4,55,000"
Maruti Suzuki Swift (2018),PETROL,22076.0 KM,1st,"Choodubali, Kottayam","₹ 6,05,000"
Maruti Suzuki Wagon R (2012),PETROL,50859.0 KM,1st,"Eranhipalam, Kozhikode","₹ 3,20,000"
Maruti Suzuki Wagon R (2018),PETROL,39781.0 KM,1st,"Killipalam, Thiruvananthapuram","₹ 4,50,000"
Maruti Suzuki Alto K10 (2013),PETROL,69000.0 KM,--,"Kuttikkattil Junction, Karunagappally","₹ 2,25,000"
Mahindra Scorpio (2009),DIESEL,1.0 KM,1st,"Calicut Airport, Kozhikode","₹ 2,95,000"
Honda City (2016),PETROL,70000.0 KM,1st,"Warangod, Malappuram","₹ 8,40,000"
Tata Others (2014),DIESEL,119.0 KM,2nd,"Sultanpet, Palakkad","₹ 4,15,000"
Maruti Suzuki Wagon R (2018),PETROL,3.0 KM,--,"Valanchery, Malappuram","₹ 3,33,333"
Maruti Suzuki Swift (2017),--,36223.0 KM,1st,"Eranhipalam, Kozhikode","₹ 5,90,000"
Tata Nano (2013),PETROL,90184.0 KM,2nd,"Eranhipalam, Kozhikode","₹ 80,000"
Maruti Suzuki Eeco (2017),PETROL,"42,000 KM",2nd,"Thrikkariyoor, Kothamangalam","₹ 3,49,000"
Maruti Suzuki Swift (2007),DIESEL,"130,000 KM",4th,"Morayur, Malappuram","₹ 1,65,000"
Maruti Suzuki Celerio (2019),PETROL,88.0 KM,--,"Kozhikode, Vadakara","₹ 3,88,888"
Ford Fiesta (2009),PETROL,118000.0 KM,1st,"Bharanaganam, Palai","₹ 1,45,000"
Maruti Suzuki Swift (2018),DIESEL,59000.0 KM,1st,"Thondayad, Kozhikode","₹ 6,60,000"
Toyota Innova (2009),DIESEL,126000.0 KM,2nd,"Tawangal Park, Abdu Rahiman Nagar","₹ 4,25,999"
Audi A4 (2015),DIESEL,76000.0 KM,1st,"Kannur, Payyannur","₹ 23,50,000"
Hyundai I10 (2012),PETROL,75000.0 KM,2nd,"Bharanaganam, Palai","₹ 2,49,000"
Mahindra Scorpio (2009),DIESEL,112000.0 KM,3rd,"Koorkenchery, Thrissur","₹ 3,75,000"
Maruti Suzuki Estilo (2009),--,92000.0 KM,2nd,"Mannarkad 2, Mannarkad I","₹ 1,37,000"
Tata Tiago (2018),PETROL,68000.0 KM,2nd,"Mankavu, Kozhikode","₹ 5,00,000"
Tata Nano (2015),PETROL,29000.0 KM,1st,"Tali, Kozhikode","₹ 1,55,000"
Maruti Suzuki Swift (2016),DIESEL,55000.0 KM,1st,"Mevaram, Kollam","₹ 5,35,000"
Maruti Suzuki Alto (2010),PETROL,108813.0 KM,1st,"Eranhipalam, Kozhikode","₹ 1,60,000"
Mahindra Xuv500 (2012),DIESEL,2 KM,2nd,"Arikkadamukku, Pallichal","₹ 6,50,000"
Maruti Suzuki Baleno (2019),DIESEL,33.0 KM,--,"Maradu, Kochi","₹ 6,33,333"
Maruti Suzuki Celerio (2018),PETROL,48051.0 KM,1st,"Choodubali, Kottayam","₹ 4,65,000"
Volkswagen Polo (2014),DIESEL,95000.0 KM,2nd,"Edappally, Kochi","₹ 3,85,000"
Hyundai Eon (2014),PETROL,69999.0 KM,2nd,"Eranhipalam, Kozhikode","₹ 2,40,000"
Maruti Suzuki Eeco (2013),PETROL,40000.0 KM,2nd,"Thiruvannur, Kozhikode","₹ 2,90,000"
Volkswagen Polo (2019),PETROL,20000.0 KM,1st,"Kacheripady, Kochi","₹ 6,79,000"
Maruti Suzuki Alto 800 (2017),PETROL,46000.0 KM,--,"Ernad, Manjeri","₹ 2,80,000"
Hyundai Santro Xing (2008),PETROL,83000.0 KM,1st,"Kuttikkattil Junction, Karunagappally","₹ 1,50,000"
Tata Tiago (2018),PETROL,40485.0 KM,1st,"Gandhi Nagar, Kochi","₹ 4,85,000"
Nissan Micra (2012),DIESEL,60000.0 KM,2nd,"Pattom, Thiruvananthapuram","₹ 3,20,000"
Hyundai Verna (2008),DIESEL,"120,000 KM",2nd,"Moonubeedika, Perinjanam","₹ 1,60,000"
Mahindra Thar (2021),DIESEL,2500.0 KM,1st,"Puthanathani, Malappuram","₹ 18,50,000"
Hyundai Grand I10 (2018),PETROL,50362.0 KM,1st,"Choodubali, Kottayam","₹ 4,75,000"
Maruti Suzuki Omni (2013),PETROL,65000.0 KM,1st,"Chelamattom, Perumbavoor","₹ 1,72,000"
Maruti Suzuki Swift Dzire (2017),PETROL,26674.0 KM,1st,"Choodubali, Kottayam","₹ 6,29,997"
Maruti Suzuki Celerio (2017),PETROL,30000.0 KM,1st,"Aranattukara, Thrissur","₹ 4,70,000"
Hyundai I10 (2011),PETROL,80000.0 KM,2nd,"Tali, Kozhikode","₹ 2,05,000"
Maruti Suzuki Ertiga (2018),DIESEL,19.0 KM,--,"Kakkanad, Kochi","₹ 6,99,999"
Hyundai I10 (2009),PETROL,111333.0 KM,2nd,"Eranhipalam, Kozhikode","₹ 1,75,000"
Maruti Suzuki Alto K10 (2020),PETROL,99.0 KM,--,"Swarg Nagar, Quilandy","₹ 3,33,333"
Hyundai Santro (2011),PETROL,100000.0 KM,3rd,"Kakkanad, Kochi","₹ 1,75,000"
Maruti Suzuki Alto 800 (2014),PETROL,90265.0 KM,1st,"Nallalam, Kozhikode","₹ 2,25,000"
Ford Fiesta (2008),DIESEL,115000.0 KM,2nd,"Bharanaganam, Palai","₹ 1,25,000"
Toyota Innova (2008),DIESEL,241666.0 KM,2nd,"Karamana, Thiruvananthapuram","₹ 5,25,000"
Maruti Suzuki Celerio (2017),PETROL,66000.0 KM,2nd,"Kadavanthra, Kochi","₹ 3,95,000"
Honda Amaze (2016),PETROL,35555.0 KM,1st,"Madannada, Kollam","₹ 5,35,000"
Maruti Suzuki Alto K10 (2011),PETROL,30118.0 KM,1st,"Killipalam, Thiruvananthapuram","₹ 2,40,000"
Maruti Suzuki Wagon R (2017),PETROL,53835.0 KM,1st,"Muttathara, Thiruvananthapuram","₹ 4,60,000"
Mitsubishi Pajero Sport (2012),DIESEL,135000.0 KM,2nd,"Puthanathani, Malappuram","₹ 9,85,000"
Hyundai Verna (2011),DIESEL,"91,770 KM",1st,"Kakkanad, Kochi","₹ 4,95,000"
Hyundai I20 (2009),DIESEL,"162,000 KM",3rd,"Parakkadu, Kattappana","₹ 2,05,000"
Maruti Suzuki Ciaz (2016),PETROL,51036.0 KM,1st,"Choodubali, Kottayam","₹ 6,30,000"
Maruti Suzuki Swift (2014),DIESEL,"52,000 KM",1st,"Thoppumpady, Kochi","₹ 4,60,000"
Renault Others (2021),PETROL,"2,800 KM",1st,"Ayoor, Kollam","₹ 7,80,000"
Tata Indigo Cs (2008),DIESEL,0 KM,2nd,"Keralapuram, Kollam","₹ 40,000"
Maruti Suzuki A-Star (2009),PETROL,"63,000 KM",1st,"Vallikunnu, Ariyallur","₹ 1,70,000"
Maruti Suzuki Wagon R (2010),PETROL,78000.0 KM,2nd,"Kuruppampady, Perumbavoor","₹ 1,82,000"
Maruti Suzuki Estilo (2008),PETROL,"75,000 KM",2nd,"Angadipuram, Perinthalmanna","₹ 1,10,000"
Honda City (2015),PETROL,"34,000 KM",2nd,"Priyadarsini Nagar, Thrissur","₹ 6,40,000"
Chevrolet Cruze (2010),DIESEL,"80,000 KM",3rd,"Palluruthy, Kochi","₹ 3,85,000"
Audi A3 (2014),DIESEL,72000.0 KM,1st,"Thondayad, Kozhikode","₹ 19,50,000"
Maruti Suzuki Wagon R (2016),PETROL,78000.0 KM,1st,"Palat Nagar, Kozhikode","₹ 3,70,000"
Jeep Compass (2018),DIESEL,20200.0 KM,1st,"Mannarkad 2, Mannarkad I","₹ 17,50,000"
Maruti Suzuki Alto (2004),PETROL,"57,000 KM",2nd,"Chavittuvary, Perumbaikad","₹ 85,000"
Maruti Suzuki Zen (2003),PETROL,"98,500 KM",2nd,"Ashramam, Kollam","₹ 88,000"
Maruti Suzuki Alto 800 (2014),--,79486.0 KM,2nd,"Palarivattom, Kochi","₹ 2,25,000"
Maruti Suzuki Zen (1997),PETROL,"121,000 KM",2nd,"Koottupatha, Palakkad","₹ 37,000"
Renault Triber (2020),--,15000.0 KM,--,"Muvattupuzha, Muvattupuzha","₹ 7,10,000"
Renault Triber (2020),--,15000.0 KM,--,"Kolenchery, Kochi","₹ 7,10,000"
Maruti Suzuki Ciaz (2017),--,17205.0 KM,1st,"Palarivattom, Kochi","₹ 8,10,000"
Ford Ecosport (2014),DIESEL,"98,700 KM",2nd,"Nellaya Village, Vaniyamkulam II","₹ 5,90,000"
Tata Others (2018),DIESEL,33000.0 KM,1st,"Vengoor, Angamaly","₹ 4,75,000"
Audi A6 (2010),--,5656.0 KM,--,"Vyttila, Kochi","₹ 2,50,000"
Maruti Suzuki Ertiga (2018),PETROL,"36,000 KM",1st,"Valanchery, Malappuram","₹ 8,50,000"
Nissan Terrano (2014),DIESEL,78400.0 KM,1st,"Mannarkad 2, Mannarkad I","₹ 6,50,000"
Mahindra Verito (2015),DIESEL,"160,000 KM",1st,"Killipalam, Thiruvananthapuram","₹ 1,55,000"
Maruti Suzuki Stingray (2013),PETROL,"75,000 KM",2nd,"Aruvithura, Erattupetta","₹ 3,30,000"
Maruti Suzuki Celerio (2015),PETROL,35000.0 KM,2nd,"Pallimukku, Kollam","₹ 4,00,000"
Tata Harrier (2019),DIESEL,8600.0 KM,1st,"Malappuram Up Hill, Malappuram","₹ 16,75,000"
Other Brands Others (2015),PETROL,9500.0 KM,1st,"Kannur, Payyannur","₹ 14,90,000"
Honda Civic (2007),PETROL,"67,000 KM",2nd,"Changubetty, Kottakal","₹ 5,50,000"
Toyota Innova (2009),DIESEL,190000.0 KM,2nd,"Up Hill, Malappuram","₹ 4,38,000"
Ford Ecosport (2015),DIESEL,78000.0 KM,1st,"Indira Nagar Housing Colony, Thrissur","₹ 6,35,000"
Maruti Suzuki Swift (2011),DIESEL,"110,000 KM",2nd,"Calicut Airport, Kozhikode","₹ 2,70,000"
